PassengerId,Group,GroupSize,LoneTraveler,HomePlanet,CryoSleep,CabinDeck,CabinNumber,CabinSide,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,AmountSpent,Spent,Transported,FirstName,LastName
0001_01,1,1,1,Europa,False,B,0,P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,Maham,Ofracculy
0002_01,2,1,1,Earth,False,F,0,S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,736.0,1,True,Juanna,Vines
0003_01,3,2,0,Europa,False,A,0,S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,10383.0,1,False,Altark,Susent
0003_02,3,2,0,Europa,False,A,0,S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,5176.0,1,False,Solam,Susent
0004_01,4,1,1,Earth,False,F,1,S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,1091.0,1,True,Willy,Santantines
0005_01,5,1,1,Earth,False,F,0,P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,774.0,1,True,Sandie,Hinetthews
0006_01,6,2,0,Earth,False,F,2,S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,1584.0,1,True,Billex,Jacostaffey
0006_02,6,2,0,Earth,True,G,0,S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,,0.0,0,True,Candra,Jacostaffey
0007_01,7,1,1,Earth,False,F,3,S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,1018.0,1,True,Andona,Beston
0008_01,8,3,0,Europa,True,B,1,P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0,True,Erraiam,Flatic
0008_02,8,3,0,Europa,True,B,1,P,TRAPPIST-1e,34.0,False,0.0,0.0,,0.0,0.0,0.0,0,True,Altardr,Flatic
0008_03,8,3,0,Europa,False,B,1,P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,8157.0,1,True,Wezena,Flatic
0009_01,9,1,1,Mars,False,F,1,P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,1309.0,1,True,Berers,Barne
0010_01,10,1,1,Earth,False,G,1,S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,809.0,1,False,Reney,Baketton
0011_01,11,1,1,Earth,False,F,2,P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,1003.0,1,True,Elle,Bertsontry
0012_01,12,1,1,Earth,False,,,,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,908.0,1,False,Justie,Pooles
0014_01,14,1,1,Mars,False,F,3,P,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,1408.0,1,False,Flats,Eccle
0015_01,15,1,1,Earth,False,F,4,P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,638.0,1,False,Carry,Hughriend
